source,target,weight
ER,FGD2,0.589571584876899
ER,CCDC40,-0.221753582182502
ER,TEX11,-0.339797207044684
ER,ATP1A4,-0.474220537710076
ER,MAFB,0.251830942169252
ER,PIGF,0.785532161111394
ER,PIEZO2,1.37223921091316
ER,PRCD,-0.251901093367006
ER,STRCP1,0.283967539654158
ER,TP63,-0.607476206877599
ER,PRKRIRP6,0.245684882618661
ER,ADCY8,0.793931289576853
ER,GPATCH2L,0.374585226227535
ER,PART1,-0.0542666563141052
ER,NLGN1,0.480612204817628
ER,DLGAP1,-0.279769593255421
ER,ABI2,-0.0681395955878861
ER,CHST9,-0.228008465779655
ER,GREB1L,-0.394797851491804
ER,HOTTIP,-0.480790525847624
ER,AFF2,-0.032597449769805
ER,LST1,-0.558802795824027
ER,SLC6A19,-0.539849531013587
ER,SKOR1,-0.404902944915267
ER,WDR78,-0.274059319066844
ER,PGA4,0.274625921110341
ER,SCG3,0.399774543620525
ER,MMRN2,-0.14509918749159
ER,SSPN,0.248292966986849
ER,KALRN,-0.0565604622288663
ER,SCN10A,0.589205341749229
ER,PDE6C,-0.474720131962203
ER,ZNF585B,-0.563824319164957
ER,ROBO3,0.884191302092296
ER,TRAF3IP3,-1.14276908596278
ER,CCNK,-0.0698170985169608
ER,CYP8B1,0.0170198327830916
ER,ZNF546,-0.404185253402851
ER,PLIN4,-0.0891706108677556
ER,DPH6,-0.100276806238983
ER,MARVELD3,-0.133566981705936
ER,RGS13,1.13780802189398
ER,STRBP,-0.255212795651914
ER,LRFN2,0.327284299440285
ER,PRRG3,-0.0994057499893537
ER,NLRP12,-0.41890833910044
ER,PLCXD3,-0.0346508176742816
ER,RUNDC3B,-0.00716066186127243
ER,CABP7,-0.476824823735712
ER,ZNF366,0.263481690550437
ER,COL2A1,0.646120603870638
ER,BZRAP1,-0.00410162483599158
ER,TCP10,0.0418820788641488
ER,ADGRF3,0.923843296197463
ER,HIBCH,0.878687564171535
ER,ADGRD1,-0.630749037994599
ER,SDPR,-0.589014891925385
ER,TNNT2,-0.529387538284338
ER,CD5,0.34199891027073
ER,CCDC170,0.634311779155382
ER,PRSS30P,-0.0836861088947237
ER,GIMAP1,0.27281022088385
ER,KCNK12,-0.363913296669864
ER,DNAJB13,0.217417584598432
ER,DENND2D,-0.407489746546911
ER,MOGAT2,-0.328237666295318
ER,AMER2,0.900940509806378
ER,ZNF536,0.165886292520171
ER,BPIFB1,-0.149600611233419
ER,TMEM150C,0.285643695561474
ER,DNAH7,-0.0724735964656169
ER,ANXA3,0.866188537168512
ER,HDDC2,0.830583204402375
ER,VTA1,0.683359412947674
ER,FENDRR,-0.247413215867521
ER,ABCC11,0.233714732934337
ER,RAPGEF3,-0.21435011541543
ER,KIAA1109,-0.222480220922251
ER,LRGUK,0.618385203198599
ER,RGS11,-0.319908643168258
ER,TRPM3,-0.13250473113327
ER,ZNF862,0.513537111143282
ER,CDH17,0.102094600024048
ER,BCAS3,0.274151055150003
ER,ZNF826P,-0.0742819713682414
ER,VILL,-0.0702853491221833
ER,TTTY15,-0.213707578396568
ER,PNMA5,0.0620681416335829
ER,CACNA1C,0.0780403215306786
ER,SKOR2,-0.57510796153227
ER,COG6,-0.149856999870668
ER,HP,-0.638555679911945
ER,TACC2,-0.00174397553061841
ER,CABLES1,-0.417956847392125
ER,PADI1,-0.0642439575778408
ER,ZSCAN4,0.334139000590659
ER,RIMKLA,-0.211434495049575
ER,MYOM2,0.268445860318106
ER,SNX13,0.642248234404356
ER,EIF1AY,0.307701134595441
ER,SPATA32,-0.146182074550882
ER,NKAIN2,0.234679700368453
ER,DUSP4,0.131130587105098
ER,ST8SIA1,-0.117481749914657
ER,CNGA1,0.589954341697946
ER,UGT3A1,-0.150218381242978
ER,ANKRD35,0.518970989538142
ER,TSPYL6,0.0438981291614363
ER,IL15,0.515179270570915
ER,KCND3,0.233679541138175
ER,PRR18,-0.223451223628247
ER,FAM129A,-0.196437497694862
ER,CD163,-0.430183611142641
ER,PXDNL,0.128285995552546
ER,HSF5,0.0833082890985518
ER,GLB1L3,0.211699893354666
ER,DHX8,0.516865564507077
ER,CLDN2,0.962028822268934
ER,RAG1,-0.383021561564522
ER,PBX1,-0.0249954020300291
ER,IRS2,-0.221580961697023
ER,ADAM20P1,-0.033030412521166
ER,ASNSP6,-0.18052532519699
ER,KCNE1,-0.236800045738309
ER,DNAH10,-0.391741350861519
ER,CPN2,-0.149459732005924
ER,PPEF2,0.773113670852361
ER,TRIM10,-0.0629564106887196
ER,HACD4,0.575297476575507
ER,AIRE,0.270804816465253
ER,SLC38A4,1.0946941549919
ER,CD300E,-0.315985500940376
ER,TTC41P,-0.115603006297466
ER,KLHDC7B,-0.22566466045726
ER,TMEM132D,-0.11415847996145
ER,TRAPPC2,-0.0687453346682669
ER,ACTN2,0.00434063344373187
ER,CLDN16,0.0111055895359721
ER,FGL2,0.101016003224007
ER,ACE,0.861669843838087
ER,PLIN1,-0.0733716951078646
ER,CCDC141,-0.572543412125733
ER,TMEM239,-0.22337056986756
ER,C3orf67,-0.145989737103612
ER,NFATC3,-0.50086652758182
ER,CD300LG,0.0130827887184252
ER,MUC21,-0.424003665782645
ER,WNT7A,0.441669019678787
ER,TIGIT,0.455219879109283
ER,GRIK3,-0.189863204140978
ER,SMC6,-0.0765281449934661
ER,SRRM4,-0.0698690508288825
ER,ARSD,-0.208697618717988
ER,ADGRB3,0.591205231596302
ER,ABCA8,0.84928476617955
ER,C12orf40,-0.329713234598518
ER,EXD3,-0.0967310253020345
ER,AP3B2,0.100167750356043
ER,RHOH,0.39436686917771
ER,SV2C,-0.175970648521653
ER,SLC1A1,0.49967707625611
ER,LEP,-0.0637328927226854
ER,PTCHD1,0.261643664282154
ER,IL36RN,-0.369228865677775
ER,SEZ6L,0.157725858980756
ER,CFAP43,-0.286911288742545
ER,ADCY2,0.537069798494276
ER,CHFR,-0.312012643365539
ER,GPC5,1.54360516497966
ER,IL23R,0.676703205440159
ER,DAPP1,-0.365737740514355
ER,DNAH2,0.0438815980085706
ER,PAPOLA,1.42004989603321
ER,PPP1R1C,-0.384274966905226
ER,ELF5,-0.27838547217998
ER,SCML4,0.445221712500429
ER,PLEK,-0.162594185173321
ER,ANKRD36,0.916030464063828
ER,SLC7A9,0.238620284976124
ER,PPME1,-0.240942728583316
ER,PLXDC2,0.913159635305869
ER,ADGRF2,-0.762108990881174
ER,IDH3A,-0.462461097705468
ER,PRSS27,0.128834140421925
ER,THEMIS2,0.0800009229947158
ER,AIFM3,0.177591853212766
ER,MYCBPAP,0.443865364081745
ER,DMRTA2,0.489575821408064
ER,SOX1,0.281060470526333
ER,FASTKD2,0.422188507444786
ER,SLC4A9,0.38945533294396
ER,SYT8,-0.154842950303963
ER,C1orf127,0.0838403196196552
ER,ABCB11,0.421627336294159
ER,ENTPD3,0.541910237771636
ER,RXRA,0.0705549099584186
ER,LRAT,-0.225561695426907
ER,SEC1P,0.237274875251662
ER,CASC2,-0.497736043867101
ER,ARPP21,0.189461555813889
ER,ADH6,0.248959982682671
ER,FAM53A,0.283428678914735
ER,NUBPL,-0.814281378370089
ER,SLC26A1,-0.242642675734755
ER,LRTM2,0.184473726869882
ER,TTC23L,0.144803231031282
ER,ZNF233,0.176100843939229
ER,BEND2,-0.173981691461153
ER,STC2,-0.554812978856706
ER,PCM1,1.01629784684185
ER,ABCA6,0.0203888579421636
ER,MPDZ,-0.196137845426038
ER,HEPHL1,1.34411454787684
ER,MDGA1,0.529622489006736
ER,GLB1L2,-0.0195109907323596
ER,SYT16,0.608402829200191
ER,LYST,0.000500755111306771
ER,SLC34A2,-0.943968507752532
ER,ANKRD30A,-0.133256107386409
ER,KLK7,0.474426225360853
ER,SIGLEC8,0.183649981101825
ER,IL12B,-0.557905227072332
ER,SLC52A3,1.12427692085769
ER,LACE1,-0.0532836444179787
ER,L1TD1,-0.586660092951106
ER,ZEB2,0.413227902386271
ER,C9orf139,-0.663047208637293
ER,KIAA1671,0.718917762272824
ER,DRGX,-0.279576823793915
ER,SLC13A5,-0.234941912934186
ER,NOTCH4,0.371292454894391
ER,NPY6R,0.174284612560401
ER,SLC9C1,0.028985551127327
ER,ART4,-0.0816795593958764
ER,CDH8,-0.0370000912993942
ER,C14orf105,-0.155700720287673
ER,GFAP,0.323618826872803
ER,GPR65,0.637200402694944
ER,SIRT2,0.974509366211742
ER,CCDC102B,0.162502220503702
ER,TRPC4,0.234940076721226
ER,EPX,-0.688899350600905
ER,PPP2R5C,0.354988093703844
ER,GLIS3,0.102772193908373
ER,BMP3,0.0287470592049761
ER,NPTX2,-0.113568086943317
ER,SLC8A3,0.506245730156612
ER,PKDREJ,0.357001729310209
ER,RCN1,-0.157524580152768
ER,RSPO3,0.826200670000152
ER,TMPRSS4,0.403637377681216
ER,HRG,-0.551732643115324
ER,ARHGAP17,-0.46061725260546
ER,KLHL30,-0.00962533960650877
ER,COLGALT2,1.04716048844531
ER,LPAR1,0.660054762106756
ER,PAPD5,0.62982405755888
ER,PSAPL1,1.46548424997449
ER,WDR20,-0.0295917288792629
ER,NPBWR1,0.00492235773374198
ER,WISP3,-0.0119574462518205
ER,WBP2NL,-0.663878762095643
ER,NLRP6,-0.152770898871601
ER,GGACT,0.0629435646905444
ER,GBAS,0.75101680823348
ER,NCAM1,2.31182991942061
ER,VPS72,-0.260630014830052
ER,USP53,0.0163582927749995
ER,LGR5,1.04618859153433
ER,KCNJ6,-0.0959313756033731
ER,RASSF6,0.077531760621896
ER,FLI1,-0.178434772807489
ER,LRRD1,-0.268556658083249
ER,PRMT3,0.552634275609801
ER,NRSN1,0.5848520654812
ER,ZNF852,0.0921543305341975
ER,SH3TC2,-0.455032812314908
ER,RBFOX1,-0.298715232530467
ER,SEZ6,0.888118530904105
ER,TPK1,0.369978485671545
ER,GDPD4,0.513952881382275
ER,GLRA2,-0.219089468538496
ER,ZCCHC5,-0.238019139606446
ER,NOX5,-0.29312334173172
ER,PCAT18,0.0150030524744416
ER,BDKRB2,-0.0306191128822721
ER,ERICH3,-0.140064210291157
ER,FHAD1,-0.320716887389577
ER,UGP2,0.744171014112469
ER,DNAAF1,0.72878775937995
ER,PTPRO,-0.0842290630961271
ER,CPLX2,0.20562363560119
ER,TECTA,-0.260321602117493
ER,STXBP5L,0.0755359706377409
ER,PCDHGC4,-0.241043382453721
ER,RIMS1,-0.162947747502909
ER,DSP,-0.389205662047137
